gene,P,LM,
CRP,1.81E-06,0.218913425,DAS28
SERPINA3,2.13E-05,0.171987475,DAS28
LRG1,3.25E-05,0.169096081,DAS28
ORM1,8.41E-05,0.164379399,DAS28
CORO1B,0.035623106,0.156615981,DAS28
SAA2,0.002495998,0.156380415,DAS28
PLP2,0.021311851,0.154189463,DAS28
C9,0.002398468,0.124781935,DAS28
HP,0.002459446,0.120961026,DAS28
GNAI1,0.043983102,0.119806144,DAS28
SERPINA1,0.003751029,0.117939378,DAS28
SUMO4,0.037888099,0.117778661,DAS28
FGG,0.008723907,0.106629156,DAS28
COX4I1,0.015293964,0.098871172,DAS28
SOD1,0.030215906,0.098817295,DAS28
ORM2,0.02404993,0.094857127,DAS28
SRI,0.049973084,0.088620442,DAS28
SAE1,0.027379894,-0.130022486,DAS28
RPL18,0.009447287,-0.130778791,DAS28
HBB,0.001142483,-0.131404963,DAS28
ALDH1B1,0.005668036,-0.132984007,DAS28
SERPINA4,0.001257964,-0.134926837,DAS28
AHSG,0.0008259,-0.135326131,DAS28
GPLD1,0.03270307,-0.140328261,DAS28
NDST1,0.002264761,-0.141993154,DAS28
RBP4,0.000292892,-0.146565291,DAS28
NUCKS1,0.009728988,-0.148365655,DAS28
WARS,0.023719982,-0.153488437,DAS28
COL1A2,0.011342879,-0.160104107,DAS28
A2M,5.63E-05,-0.160577156,DAS28
ARHGDIA,0.008701845,-0.16338266,DAS28
IGFALS,0.005522201,-0.164348528,DAS28
KDELR2,0.000172418,-0.173548293,DAS28
PTBP1,0.000376102,-0.199124672,DAS28
CSRP3,0.003293665,-0.201696591,DAS28
CCT6B,0.033106952,-0.277690653,DAS28
RPL23A,0.000464557,-0.327369674,DAS28
A2M,0.000708778,-0.007241085,VAS
PTBP1,0.002089959,-0.009137308,VAS
ORM1,0.003900525,0.006486025,VAS
KDELR2,0.009011661,-0.006620736,VAS
SRI,0.009614917,0.006300583,VAS
CCT6B,0.013849314,-0.01707691,VAS
HBB,0.015052017,-0.005267342,VAS
WARS,0.015600956,-0.008359926,VAS
AHSG,0.016592895,-0.00522849,VAS
COX4I1,0.018668924,0.00512804,VAS
SAE1,0.020041237,-0.007701028,VAS
ALDH1B1,0.023309193,-0.00582826,VAS
RPL18,0.025732671,-0.005939369,VAS
ORM2,0.026283156,0.005001916,VAS
SOD1,0.029125087,0.005340624,VAS
NDST1,0.046418332,-0.004843116,VAS
LRG1,6.41E-05,0.046333741,SJC
SERPINA3,0.000240955,0.042509864,SJC
CRP,0.003372843,0.036582291,SJC
A2M,0.004783913,-0.032347339,SJC
AHSG,0.007836112,-0.030793544,SJC
SERPINA1,0.011691595,0.029384685,SJC
HBB,0.01378637,-0.028540875,SJC
ORM1,0.015625936,0.028771137,SJC
KDELR2,0.017128457,-0.030398072,SJC
PTBP1,0.017308054,-0.036529364,SJC
HP,0.017816663,0.027133737,SJC
SRI,0.019249684,0.029634257,SJC
SUMO4,0.027952146,0.038518345,SJC
NDST1,0.034805035,-0.026526062,SJC
PLP2,0.035790323,0.055158638,SJC
GNAI1,0.036653069,0.03264683,SJC
SAA2,0.041012673,0.026896983,SJC
NUCKS1,0.049345228,-0.031136546,SJC
RPL23A,0.002422015,-0.044692157,TJC
SUMO4,0.003361464,0.030081684,TJC
SOD1,0.005347195,0.022918848,TJC
CORO1B,0.006243857,0.039652757,TJC
IGFALS,0.008072246,-0.027169685,TJC
A2M,0.011912227,-0.018092356,TJC
RBP4,0.011967382,-0.018343342,TJC
ARHGDIA,0.018334727,-0.026124067,TJC
COX4I1,0.018524196,0.01721547,TJC
SERPINA4,0.020252588,-0.01734573,TJC
CSRP3,0.020935006,-0.029472612,TJC
PLP2,0.025466134,0.025019581,TJC
GPLD1,0.030495868,-0.025680868,TJC
HBB,0.036005303,-0.015248459,TJC
NDST1,0.038870649,-0.016948456,TJC
PTBP1,0.03939035,-0.02096544,TJC
COL1A2,0.047286744,-0.023020486,TJC
SERPINA3,1.13E-16,0.018629613,CRP
LRG1,7.22E-12,0.01573761,CRP
HP,2.76E-09,0.013434163,CRP
SAA2,3.45E-07,0.013676199,CRP
ORM1,5.23E-07,0.011686323,CRP
AHSG,3.85E-05,-0.009525115,CRP
SERPINA1,3.95E-05,0.009571979,CRP
FGG,6.42E-05,0.009295347,CRP
PTBP1,0.000961285,-0.011773208,CRP
SERPINA4,0.003473148,-0.006947419,CRP
A2M,0.004163221,-0.006609019,CRP
C9,0.005114133,0.00656544,CRP
RPL18,0.011697962,-0.006944203,CRP
RBP4,0.013210014,-0.006397755,CRP
KDELR2,0.025296174,-0.005500816,CRP
COX4I1,0.028406365,-0.00514497,CRP
HBB,0.030007578,-0.005063995,CRP
NDST1,0.048863689,-0.004937992,CRP
