rep..0...ncol.dat1..,LASSO,COUNT
GGT1,-1.4234412,35
A2M,-0.85652945,35
HSD11B1,-0.670095598,35
SLC25A4,-0.538824092,34
SLC25A5,-0.419096352,35
PBLD,-0.329078472,34
PCYOX1,-0.242209651,35
HSPD1,-0.189965764,34
ATP5L,-0.055537626,5
TPI1,-0.033372598,2
RPL13,-0.01739527,5
CNN2,0.018872335,25
MYL12A,0.029432586,4
C1QC,0.034252995,32
HDGF,0.075508657,33
CYB5A,0.100488401,29
PAICS,0.215830024,34
PRDX4,0.386496412,34
MAOA,0.403905586,35
RPL22,0.800551418,35
UBE2N,0.872515298,35
RPL27A,1.463638278,35
